period,reported_district,data_type,age_group,total
2018-01-01,Chilubi,Clinical,Under 5,14
2018-01-01,Chilubi,Clinical,Over 5,30
2018-01-01,Chilubi,Clinical,Under 5,6
2018-01-01,Chilubi,Confirmed,Under 5,1015
2018-01-01,Chilubi,Confirmed,Over 5,1657
2018-01-01,Chilubi,Confirmed,Under 5,372
2018-01-01,Kaputa,Confirmed,Under 5,467
2018-01-01,Kaputa,Confirmed,Over 5,1120
2018-01-01,Kaputa,Confirmed,Under 5,154
2018-01-01,Kasama,Clinical,Under 5,39
2018-01-01,Kasama,Clinical,Over 5,119
2018-01-01,Kasama,Clinical,Under 5,23
2018-01-01,Kasama,Confirmed,Under 5,4550
2018-01-01,Kasama,Confirmed,Over 5,11218
2018-01-01,Kasama,Confirmed,Under 5,1091
2018-01-01,Lunte,Confirmed,Under 5,500
2018-01-01,Lunte,Confirmed,Over 5,1589
2018-01-01,Lunte,Confirmed,Under 5,96
2018-01-01,Lupososhi,Clinical,Under 5,1
2018-01-01,Lupososhi,Clinical,Over 5,5
2018-01-01,Lupososhi,Confirmed,Under 5,699
2018-01-01,Lupososhi,Confirmed,Over 5,1049
2018-01-01,Lupososhi,Confirmed,Under 5,189
2018-01-01,Luwingu,Clinical,Under 5,36
2018-01-01,Luwingu,Clinical,Over 5,62
2018-01-01,Luwingu,Clinical,Under 5,15
2018-01-01,Luwingu,Confirmed,Under 5,967
2018-01-01,Luwingu,Confirmed,Over 5,2237
2018-01-01,Luwingu,Confirmed,Under 5,295
2018-01-01,Mbala,Clinical,Over 5,3
2018-01-01,Mbala,Confirmed,Under 5,900
2018-01-01,Mbala,Confirmed,Over 5,2571
2018-01-01,Mbala,Confirmed,Under 5,258
2018-01-01,Mporokoso,Clinical,Under 5,6
2018-01-01,Mporokoso,Clinical,Over 5,15
2018-01-01,Mporokoso,Clinical,Under 5,1
2018-01-01,Mporokoso,Confirmed,Under 5,241
2018-01-01,Mporokoso,Confirmed,Over 5,869
2018-01-01,Mporokoso,Confirmed,Under 5,70
2018-01-01,Mpulungu,Clinical,Under 5,1
2018-01-01,Mpulungu,Clinical,Over 5,11
2018-01-01,Mpulungu,Confirmed,Under 5,1145
2018-01-01,Mpulungu,Confirmed,Over 5,2435
2018-01-01,Mpulungu,Confirmed,Under 5,314
2018-01-01,Mungwi,Clinical,Under 5,90
2018-01-01,Mungwi,Clinical,Over 5,332
2018-01-01,Mungwi,Clinical,Under 5,21
2018-01-01,Mungwi,Confirmed,Under 5,2330
2018-01-01,Mungwi,Confirmed,Over 5,4869
2018-01-01,Mungwi,Confirmed,Under 5,545
2018-01-01,Nsama,Clinical,Under 5,3
2018-01-01,Nsama,Clinical,Over 5,11
2018-01-01,Nsama,Clinical,Under 5,1
2018-01-01,Nsama,Confirmed,Under 5,314
2018-01-01,Nsama,Confirmed,Over 5,588
2018-01-01,Nsama,Confirmed,Under 5,54
2018-01-01,Senga,Confirmed,Under 5,1575
2018-01-01,Senga,Confirmed,Over 5,4158
2018-01-01,Senga,Confirmed,Under 5,401
2018-02-01,Chilubi,Clinical,Under 5,107
2018-02-01,Chilubi,Clinical,Over 5,263
2018-02-01,Chilubi,Clinical,Under 5,43
2018-02-01,Chilubi,Confirmed,Under 5,1087
2018-02-01,Chilubi,Confirmed,Over 5,1964
2018-02-01,Chilubi,Confirmed,Under 5,397
2018-02-01,Kaputa,Clinical,Over 5,3
2018-02-01,Kaputa,Confirmed,Under 5,323
2018-02-01,Kaputa,Confirmed,Over 5,996
2018-02-01,Kaputa,Confirmed,Under 5,89
2018-02-01,Kasama,Clinical,Under 5,19
2018-02-01,Kasama,Clinical,Over 5,76
2018-02-01,Kasama,Clinical,Under 5,6
2018-02-01,Kasama,Confirmed,Under 5,2852
2018-02-01,Kasama,Confirmed,Over 5,7452
2018-02-01,Kasama,Confirmed,Under 5,697
2018-02-01,Lunte,Clinical,Under 5,16
2018-02-01,Lunte,Clinical,Over 5,91
2018-02-01,Lunte,Clinical,Under 5,2
2018-02-01,Lunte,Confirmed,Under 5,441
2018-02-01,Lunte,Confirmed,Over 5,1503
2018-02-01,Lunte,Confirmed,Under 5,113
2018-02-01,Lupososhi,Clinical,Over 5,1
2018-02-01,Lupososhi,Confirmed,Under 5,344
2018-02-01,Lupososhi,Confirmed,Over 5,706
2018-02-01,Lupososhi,Confirmed,Under 5,135
2018-02-01,Luwingu,Clinical,Over 5,2
2018-02-01,Luwingu,Confirmed,Under 5,916
2018-02-01,Luwingu,Confirmed,Over 5,1980
2018-02-01,Luwingu,Confirmed,Under 5,239
2018-02-01,Mbala,Clinical,Under 5,4
2018-02-01,Mbala,Clinical,Over 5,4
2018-02-01,Mbala,Confirmed,Under 5,833
2018-02-01,Mbala,Confirmed,Over 5,1686
2018-02-01,Mbala,Confirmed,Under 5,143
2018-02-01,Mporokoso,Clinical,Under 5,4
2018-02-01,Mporokoso,Clinical,Over 5,8
2018-02-01,Mporokoso,Confirmed,Under 5,168
2018-02-01,Mporokoso,Confirmed,Over 5,593
2018-02-01,Mporokoso,Confirmed,Under 5,56
2018-02-01,Mpulungu,Clinical,Over 5,8
2018-02-01,Mpulungu,Confirmed,Under 5,520
2018-02-01,Mpulungu,Confirmed,Over 5,1213
2018-02-01,Mpulungu,Confirmed,Under 5,140
2018-02-01,Mungwi,Clinical,Under 5,102
2018-02-01,Mungwi,Clinical,Over 5,237
2018-02-01,Mungwi,Clinical,Under 5,31
2018-02-01,Mungwi,Confirmed,Under 5,1784
2018-02-01,Mungwi,Confirmed,Over 5,4397
2018-02-01,Mungwi,Confirmed,Under 5,395
2018-02-01,Nsama,Clinical,Under 5,3
2018-02-01,Nsama,Clinical,Over 5,13
2018-02-01,Nsama,Confirmed,Under 5,140
